temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,wind_speed,date,time,datetime,humidity_normalized,pressure_normalized,temp_status,feels_like_status,pressure_status,wind_status
13.63,13.4,12.74,14.46,1023,90,1023,1018,4.12,2024-11-30,13:30,2024-11-30 13:30:00,0.8387096774193549,0.7777777777777778,Warm,Feels similar,High pressure,Low wind
6.61,3.29,5.13,8.92,1007,93,1007,1002,5.14,2024-11-27,09:29,2024-11-27 09:29:00,0.9354838709677419,0.4222222222222222,Cold,Feels similar,Low pressure,Moderate wind
10.43,9.96,9.93,11.14,1011,93,1011,1007,8.23,2024-12-05,03:31,2024-12-05 03:31:00,0.9354838709677419,0.5111111111111111,Warm,Feels similar,Low pressure,High wind
7.78,4.02,6.9,8.36,1030,79,1030,1026,7.2,2024-12-09,13:31,2024-12-09 13:31:00,0.4838709677419355,0.9333333333333333,Cold,Feels similar,High pressure,Moderate wind
3.22,1.23,2.12,4.27,1026,94,1026,1021,2.06,2024-12-04,04:30,2024-12-04 04:30:00,0.967741935483871,0.8444444444444444,Cold,Feels similar,High pressure,Low wind
6.41,3.53,4.52,7.87,1013,86,1013,1008,4.12,2024-11-26,05:29,2024-11-26 05:29:00,0.7096774193548387,0.5555555555555556,Cold,Feels similar,Low pressure,Low wind
7.17,3.24,6.63,7.83,1032,79,1032,1028,7.2,2024-12-09,22:31,2024-12-09 22:31:00,0.4838709677419355,0.9777777777777777,Cold,Feels similar,High pressure,Moderate wind
12.08,11.8,11.63,12.6,1012,94,1012,1008,5.14,2024-12-01,12:30,2024-12-01 12:30:00,0.967741935483871,0.5333333333333333,Warm,Feels similar,Low pressure,Moderate wind
6.45,3.32,5.38,7.24,1013,91,1013,1009,4.63,2024-11-27,01:29,2024-11-27 01:29:00,0.8709677419354839,0.5555555555555556,Cold,Feels similar,Low pressure,Low wind
11.89,11.59,11.4,12.44,997,94,997,992,8.75,2024-12-07,00:31,2024-12-07 00:31:00,0.967741935483871,0.2,Warm,Feels similar,Low pressure,High wind
11.39,10.99,10.42,12.47,997,92,997,993,9.77,2024-11-23,15:29,2024-11-23 15:29:00,0.9032258064516129,0.2,Warm,Feels similar,Low pressure,High wind
7.98,5.73,6.9,8.81,1014,76,1014,1009,3.6,2024-12-06,17:31,2024-12-06 17:31:00,0.3870967741935484,0.5777777777777777,Cold,Feels similar,Low pressure,Low wind
7.34,6.27,5.54,8.81,1017,80,1017,1012,1.82,2024-11-26,16:29,2024-11-26 16:29:00,0.5161290322580645,0.6444444444444445,Cold,Feels similar,Low pressure,Low wind
6.88,3.41,6.6,7.44,1030,86,1030,1026,5.66,2024-12-09,07:31,2024-12-09 07:31:00,0.7096774193548387,0.9333333333333333,Cold,Feels similar,High pressure,Moderate wind
3.82,3.82,2.17,4.93,1025,89,1025,1020,0.51,2024-12-03,21:30,2024-12-03 21:30:00,0.8064516129032258,0.8222222222222222,Cold,Feels similar,High pressure,Low wind
6.33,1.41,5.56,7.33,1017,89,1017,1013,9.77,2024-12-08,12:31,2024-12-08 12:31:00,0.8064516129032258,0.6444444444444445,Cold,Feels much colder,Low pressure,High wind
5.04,3.94,3.73,6.16,1024,89,1024,1020,1.54,2024-12-03,19:30,2024-12-03 19:30:00,0.8064516129032258,0.8,Cold,Feels similar,High pressure,Low wind
11.61,11.15,10.51,12.81,1011,89,1011,1006,4.12,2024-12-02,01:30,2024-12-02 01:30:00,0.8064516129032258,0.5111111111111111,Warm,Feels similar,Low pressure,Low wind
9.52,6.58,8.9,9.96,1012,86,1012,1008,6.17,2024-12-02,10:30,2024-12-02 10:30:00,0.7096774193548387,0.5333333333333333,Cold,Feels similar,Low pressure,Moderate wind
2.04,0.51,0.38,3.16,1026,93,1026,1021,1.54,2024-12-04,01:30,2024-12-04 01:30:00,0.9354838709677419,0.8444444444444444,Cold,Feels similar,High pressure,Low wind
6.06,0.8,5.52,6.9,1016,88,1016,1011,10.8,2024-12-08,08:31,2024-12-08 08:31:00,0.7741935483870968,0.6222222222222222,Cold,Feels much colder,Low pressure,High wind
1.3,1.3,-0.46,2.81,1028,95,1028,1024,1.03,2024-11-28,09:29,2024-11-28 09:29:00,1.0,0.8888888888888888,Cold,Feels similar,High pressure,Low wind
11.99,11.59,11.4,12.81,1012,90,1012,1008,4.12,2024-12-01,17:30,2024-12-01 17:30:00,0.8387096774193549,0.5333333333333333,Warm,Feels similar,Low pressure,Low wind
9.48,5.06,8.85,10.78,990,78,990,986,12.35,2024-12-07,05:31,2024-12-07 05:31:00,0.45161290322580644,0.044444444444444446,Cold,Feels much colder,Low pressure,High wind
2.13,2.13,0.93,2.81,1025,93,1025,1020,1.03,2024-11-28,02:29,2024-11-28 02:29:00,0.9354838709677419,0.8222222222222222,Cold,Feels similar,High pressure,Low wind
11.01,10.54,10.23,11.57,1016,91,1016,1011,5.14,2024-12-01,05:30,2024-12-01 05:30:00,0.8709677419354839,0.6222222222222222,Warm,Feels similar,Low pressure,Moderate wind
6.7,2.8,5.92,7.14,1031,85,1031,1026,6.69,2024-12-09,09:31,2024-12-09 09:31:00,0.6774193548387096,0.9555555555555556,Cold,Feels similar,High pressure,Moderate wind
10.31,9.07,9.14,11.12,1025,64,1025,1020,6.69,2024-11-29,14:30,2024-11-29 14:30:00,0.0,0.8222222222222222,Warm,Feels similar,High pressure,Moderate wind
15.0,14.64,12.94,16.72,994,80,994,990,10.8,2024-11-24,20:29,2024-11-24 20:29:00,0.5161290322580645,0.13333333333333333,Warm,Feels similar,Low pressure,High wind
13.03,12.76,12.71,13.57,1000,91,1000,996,8.75,2024-12-05,18:31,2024-12-05 18:31:00,0.8709677419354839,0.26666666666666666,Warm,Feels similar,Low pressure,High wind
8.18,5.97,7.71,9.12,1023,89,1023,1019,3.6,2024-12-04,16:31,2024-12-04 16:31:00,0.8064516129032258,0.7777777777777778,Cold,Feels similar,High pressure,Low wind
12.73,12.46,11.9,13.16,1023,92,1023,1018,3.6,2024-11-30,18:30,2024-11-30 18:30:00,0.9032258064516129,0.7777777777777778,Warm,Feels similar,High pressure,Low wind
10.12,9.07,8.78,11.15,1016,72,1016,1012,3.09,2024-11-26,13:29,2024-11-26 13:29:00,0.25806451612903225,0.6222222222222222,Warm,Feels similar,Low pressure,Low wind
4.2,1.89,3.23,5.39,1026,94,1026,1021,2.57,2024-12-04,07:30,2024-12-04 07:30:00,0.967741935483871,0.8444444444444444,Cold,Feels similar,High pressure,Low wind
8.41,6.25,7.73,8.98,1010,85,1010,1005,3.6,2024-12-06,19:31,2024-12-06 19:31:00,0.6774193548387096,0.4888888888888889,Cold,Feels similar,Low pressure,Low wind
4.65,4.65,3.19,6.07,1017,88,1017,1013,0.51,2024-11-26,18:29,2024-11-26 18:29:00,0.7741935483870968,0.6444444444444445,Cold,Feels similar,Low pressure,Low wind
5.99,1.24,5.25,6.81,1017,89,1017,1012,8.75,2024-12-08,10:31,2024-12-08 10:31:00,0.8064516129032258,0.6444444444444445,Cold,Feels much colder,Low pressure,High wind
9.69,7.15,8.43,11.06,995,92,995,991,5.14,2024-11-25,01:29,2024-11-25 01:29:00,0.9032258064516129,0.15555555555555556,Cold,Feels similar,Low pressure,Moderate wind
10.26,9.06,8.76,11.13,1025,66,1025,1020,5.14,2024-11-29,13:30,2024-11-29 13:30:00,0.06451612903225806,0.8222222222222222,Warm,Feels similar,High pressure,Moderate wind
7.24,3.33,6.62,7.83,1029,86,1029,1025,7.2,2024-12-09,05:31,2024-12-09 05:31:00,0.7096774193548387,0.9111111111111111,Cold,Feels similar,High pressure,Moderate wind
13.53,13.31,12.75,14.19,997,91,997,993,10.8,2024-11-23,20:29,2024-11-23 20:29:00,0.8709677419354839,0.2,Warm,Feels similar,Low pressure,High wind
7.88,4.0,7.16,8.81,1026,85,1026,1021,7.72,2024-12-08,22:31,2024-12-08 22:31:00,0.6774193548387096,0.8444444444444444,Cold,Feels similar,High pressure,Moderate wind
6.96,6.13,5.79,8.0,1023,79,1023,1019,1.54,2024-12-03,15:30,2024-12-03 15:30:00,0.4838709677419355,0.7777777777777778,Cold,Feels similar,High pressure,Low wind
4.86,2.27,3.45,6.2,1018,87,1018,1013,3.09,2024-11-27,17:29,2024-11-27 17:29:00,0.7419354838709677,0.6666666666666666,Cold,Feels similar,Low pressure,Low wind
11.33,10.92,10.54,12.05,1018,92,1018,1014,5.66,2024-12-01,02:30,2024-12-01 02:30:00,0.9032258064516129,0.6666666666666666,Warm,Feels similar,Low pressure,Moderate wind
14.8,14.69,13.73,15.61,997,90,997,993,8.75,2024-11-23,23:29,2024-11-23 23:29:00,0.8387096774193549,0.2,Warm,Feels similar,Low pressure,High wind
7.0,1.23,6.5,7.73,1000,80,1000,996,14.92,2024-12-07,19:31,2024-12-07 19:31:00,0.5161290322580645,0.26666666666666666,Cold,Feels much colder,Low pressure,High wind
6.87,2.39,6.36,7.81,1019,89,1019,1014,8.75,2024-12-08,15:31,2024-12-08 15:31:00,0.8064516129032258,0.6888888888888889,Cold,Feels much colder,High pressure,High wind
5.95,3.58,5.07,6.89,1021,85,1021,1017,3.09,2024-12-03,02:30,2024-12-03 02:30:00,0.6774193548387096,0.7333333333333333,Cold,Feels similar,High pressure,Low wind
16.69,16.35,15.08,17.72,995,74,995,990,9.83,2024-11-24,15:29,2024-11-24 15:29:00,0.3225806451612903,0.15555555555555556,Warm,Feels similar,Low pressure,High wind
10.47,10.03,9.93,11.35,1010,94,1010,1006,8.75,2024-12-05,04:31,2024-12-05 04:31:00,0.967741935483871,0.4888888888888889,Warm,Feels similar,Low pressure,High wind
11.9,11.52,11.07,12.46,1015,91,1015,1010,4.63,2024-12-01,07:30,2024-12-01 07:30:00,0.8709677419354839,0.6,Warm,Feels similar,Low pressure,Low wind
6.77,2.89,5.79,7.27,1033,81,1033,1028,6.69,2024-12-10,11:31,2024-12-10 11:31:00,0.5483870967741935,1.0,Cold,Feels similar,High pressure,Moderate wind
1.86,0.62,-0.32,3.33,1024,93,1024,1019,1.34,2024-11-28,00:29,2024-11-28 00:29:00,0.9354838709677419,0.8,Cold,Feels similar,High pressure,Low wind
7.22,3.14,6.4,7.93,1030,83,1030,1026,7.72,2024-12-09,14:31,2024-12-09 14:31:00,0.6129032258064516,0.9333333333333333,Cold,Feels much colder,High pressure,Moderate wind
9.31,6.67,8.29,10.02,1019,70,1019,1014,5.14,2024-12-06,12:31,2024-12-06 12:31:00,0.1935483870967742,0.6888888888888889,Cold,Feels similar,High pressure,Moderate wind
5.64,1.64,4.52,6.81,1010,93,1010,1005,6.17,2024-11-27,11:29,2024-11-27 11:29:00,0.9354838709677419,0.4888888888888889,Cold,Feels similar,Low pressure,Moderate wind
15.55,15.28,14.28,16.2,995,81,995,991,10.8,2024-11-24,05:29,2024-11-24 05:29:00,0.5483870967741935,0.15555555555555556,Warm,Feels similar,Low pressure,High wind
5.07,3.98,4.4,5.93,1022,89,1022,1018,1.54,2024-12-03,07:30,2024-12-03 07:30:00,0.8064516129032258,0.7555555555555555,Cold,Feels similar,High pressure,Low wind
13.66,13.41,12.85,14.01,1007,89,1007,1002,5.14,2024-12-05,14:31,2024-12-05 14:31:00,0.8064516129032258,0.4222222222222222,Warm,Feels similar,Low pressure,Moderate wind
11.65,10.67,10.38,12.31,1002,69,1002,998,8.75,2024-11-25,13:29,2024-11-25 13:29:00,0.16129032258064516,0.3111111111111111,Warm,Feels similar,Low pressure,High wind
8.85,5.12,7.93,9.53,1007,77,1007,1003,8.23,2024-12-06,00:31,2024-12-06 00:31:00,0.41935483870967744,0.4222222222222222,Cold,Feels similar,Low pressure,High wind
